merchant_id,name,category,location
009a6b1f,"Torres, Thomas and Craig",Retail,East Calvin
c12929e6,Sanchez-Marquez,Food,Patrickfurt
b30db867,Duran-Garcia,Travel,Lake Renee
a44f000c,Robinson-Rodriguez,Entertainment,South Robertamouth
2c1098d6,Cochran-Anderson,Food,Coltonmouth
ea15471e,Ortiz LLC,Retail,Calebfort
e9f725a2,Velasquez PLC,Entertainment,Lake Daniel
3e88b9f3,Brown and Sons,Travel,Aaronfort
666f6ba9,Mendoza PLC,Entertainment,Valdezfurt
3fc071a8,Coleman Inc,Electronics,North Nicole
7615700f,Snow and Sons,Entertainment,Lake Tina
66a5fec6,Sanders-Smith,Entertainment,Scottberg
2c4123fb,Anderson-Goodman,Travel,Robinsonberg
86041576,Cruz Inc,Electronics,Christinastad
e9b973b7,"Lewis, Avila and Manning",Retail,East Chadchester
90e33d75,"Nguyen, Farrell and Vasquez",Food,New Kevin
c0835974,Lane-Gonzalez,Electronics,South Melissahaven
29797128,"Sharp, Flores and Bennett",Travel,West Benjamin
65e24620,"Edwards, Rogers and Reeves",Entertainment,Reidborough
f810fe58,Williams PLC,Food,Dayburgh
d32f5f25,Fritz Inc,Travel,Nancyville
91e65669,Reed-Torres,Electronics,Lake Alisonmouth
66020d54,Torres PLC,Electronics,South Gregoryton
472abbc8,"Frazier, Pace and Mills",Travel,North Justinfort
e68805f0,Horton-May,Travel,Port Damonside
24d53cba,"Aguilar, Ortiz and Suarez",Entertainment,Lake Jeffreystad
aca2ee9d,Miller and Sons,Electronics,Watsonborough
7a230df6,"Sanchez, Huffman and Winters",Retail,Amyside
da747605,"Robbins, Mills and Rodriguez",Travel,Andreaborough
21563bba,"Kaufman, Schwartz and Alexander",Electronics,Navarrohaven
0351f38d,"Parker, Peters and Hudson",Retail,West Oscar
cee2da88,Keller LLC,Food,Leeview
a1b35095,Stewart-Jones,Travel,Brianmouth
844693ac,"Black, Lee and Long",Entertainment,South Brittanyshire
d16d28f7,Vasquez-Jefferson,Retail,Franciscoberg
bceaddae,"Taylor, Myers and Jackson",Food,North Ryan
a309543a,Castro-Phillips,Food,Haleyfort
8724f3ee,"Thomas, Fernandez and Green",Food,East Mary
ec61d128,Tapia-Chan,Food,South Haley
10d2aaf9,"Freeman, White and Maxwell",Food,Ibarrabury
848c66f3,"Richardson, Carter and Lucero",Travel,South Maryburgh
3017740f,Gonzales and Sons,Retail,Carneyshire
9f3a5c1a,Cooper LLC,Travel,Lake Joshua
4a34dbe7,"Lowe, Bryan and Watson",Retail,South Davidburgh
da6c643d,Mitchell-Marshall,Travel,Jackietown
2de2fb3d,"Kennedy, Hall and Murray",Electronics,Lake Timothy
fa2e7c66,Martin-Hicks,Food,Kimberlyberg
90ba1694,"Hartman, Hendrix and Morris",Entertainment,North Paul
fa2ce6cb,Clark Ltd,Food,South Christopher
5f237fd7,"Young, Goodman and Cruz",Retail,Riverahaven
