account_id,customer_id,account_type,balance
87723bbb,b5af7511,Savings,8641.79
e91cd522,81bffc47,Credit,4988.55
46f749bf,dc3cc750,Savings,3626.12
00a572a7,b9b0da4a,Savings,5287.54
5e987a10,81bffc47,Credit,9487.4
762678c1,b6bd08fe,Credit,420.98
641fe64b,07477866,Checking,4889.44
c5a13fca,0e53d46f,Credit,9245.61
337bcc65,69bcbfe6,Savings,1081.8
d721ff46,f07489a2,Checking,2981.09
b4cdd0c2,68b22233,Checking,6236.35
8f3e41c8,223522dd,Savings,6507.98
07ff77b1,305e482d,Savings,7605.7
fcbf7024,62ff4ec1,Checking,6199.04
86e6b20a,f15d43f9,Credit,1256.92
8fac0de5,19fa885a,Savings,5718.21
15287fdc,bdff371e,Checking,6785.64
6b02b732,54878b81,Savings,125.22
29346d58,dde1362a,Savings,2501.42
83e43264,6bd81d73,Checking,639.02
d134f7ef,1eb53990,Credit,3465.28
e4b1c0b2,07477866,Checking,2935.94
75fd2c01,b6bd08fe,Credit,2863.0
3413b48b,a7c37274,Checking,2491.23
4ea84515,a4eb32ae,Credit,7990.85
32fd32f2,07477866,Savings,7097.09
3ab6c50f,da387890,Checking,3444.53
9983a5a2,ecffca46,Checking,5363.13
adb72718,dde1362a,Savings,1155.47
8cf86d63,fa049b7c,Credit,1159.96
1d2124a5,7b7fea5f,Savings,2745.16
a2d122e7,d9df0afb,Checking,4687.99
d5598fe2,ef9f18f6,Credit,9682.55
6a290284,3a2bacec,Credit,3903.75
b1e599ac,650bb5ed,Credit,9521.83
7e263c5b,e4477f1e,Checking,4579.98
9814829e,4aa8ef5c,Checking,4538.61
ef785919,ced76aa1,Credit,4312.93
dbed9d2b,305e482d,Credit,9353.3
b8569866,6bd81d73,Checking,4735.73
bbd420fb,e4477f1e,Credit,7138.1
91c8b0e7,650bb5ed,Checking,7795.01
b8e3bec2,51c914e8,Checking,8341.99
3320d93a,ac70cc83,Checking,1051.57
e05ad7ee,69bcbfe6,Credit,1487.19
6c885c73,18e6a86a,Credit,3966.74
ed1bc63d,a7c37274,Checking,6581.45
e2cc7f24,d798a4f2,Checking,9681.24
ae973d2f,856f3ba0,Checking,4247.86
e5122086,b239f7a4,Checking,6627.52
f108202c,b5af7511,Savings,320.77
836804b4,eae49ac4,Savings,6793.8
41102d7a,65044f73,Checking,9350.95
2952e248,9383978a,Credit,4494.79
35a99d2e,43e8d618,Savings,9695.48
6bac6579,0e53d46f,Checking,5011.33
7d40453a,3a4d0ae7,Savings,1822.69
17d87014,a4eb32ae,Credit,4511.51
b760fd4d,63d26992,Credit,7479.41
ebea35ad,0b96ce35,Savings,5622.81
0a39754f,b9b0da4a,Savings,7974.71
a0e0af59,dc3cc750,Credit,2651.02
d119d5c6,650bb5ed,Checking,2770.21
c716b233,ced76aa1,Credit,1275.45
3e7b6a86,eae49ac4,Checking,5039.82
5918be1b,41a4cb67,Checking,5098.03
0e2aa613,d8120e0e,Credit,4879.03
472dc831,6bd81d73,Checking,1304.22
9e626087,d798a4f2,Savings,7485.21
6242b7fa,3a4d0ae7,Savings,4341.77
cff04cf0,a4eb32ae,Credit,4925.53
d6451756,415a985a,Checking,344.81
0f808f0e,21f2ea2a,Checking,867.46
172ee023,1d9e940e,Credit,4565.18
14332485,64cf7150,Savings,6637.14
4aeaf516,18e6a86a,Checking,4566.66
04e89bc5,8a753437,Credit,5333.12
e27bf7b3,a5eb18ef,Checking,8821.02
c55d411f,f07489a2,Credit,4805.68
e7f7dd37,5ab0e314,Savings,4297.7
2a99b3e9,3a4d0ae7,Credit,7959.25
cb0620b3,d43bb275,Savings,5652.98
c5935daa,856f3ba0,Checking,7132.62
b5353851,d43bb275,Credit,5697.85
99a94e4f,b9b0da4a,Credit,6072.9
63819e17,b94c28e9,Credit,3490.13
ba429d95,5ab0e314,Checking,8380.67
d0603040,62ff4ec1,Savings,1016.72
55e39723,978164b0,Credit,3804.27
4574f371,20a6780f,Savings,6137.84
34c70067,6f06be98,Savings,3293.81
53ebba78,415a985a,Checking,2709.48
e045e3ba,5e10803c,Checking,7029.24
8a93f263,a7c37274,Credit,5259.82
8177da3a,05becd1e,Savings,1934.69
09bfee82,1d9e940e,Checking,4139.86
4b69e51a,41a4cb67,Savings,561.81
0617ec88,be26c562,Savings,1308.14
6559cf71,2bbc5ce9,Checking,7454.79
f927ced7,3b84b173,Credit,1968.18
986ecd10,e4477f1e,Credit,5266.77
e5f5045f,64cf7150,Credit,4136.07
b714d8df,3bcd2d9e,Checking,4194.71
f209c789,b239f7a4,Checking,6788.82
01022575,81bffc47,Savings,602.83
61e90f28,a7c37274,Credit,4190.21
6ac3fdd1,5762c7e0,Credit,7473.11
5d5e3fd8,64cf7150,Checking,9603.6
7e211b04,d43bb275,Savings,8952.96
3bbc5650,dc3cc750,Credit,6029.95
4ca2a46b,18e6a86a,Savings,4772.76
a15b6b49,e4477f1e,Savings,4134.52
e0e68124,e36f5d63,Checking,731.05
b69fbb70,18e6a86a,Checking,9680.67
f35c7234,69bcbfe6,Credit,4002.3
d1a0e71c,5b9b74b8,Credit,5886.27
1e32d28e,a0ec2eb1,Savings,4400.91
05fb943c,fa049b7c,Savings,8451.66
44790e67,fcba9f6b,Credit,6205.07
200cac66,7657d7d1,Savings,606.46
d0fbbb99,05becd1e,Checking,2083.56
6ee70f96,74e9ab24,Checking,2013.59
9f271a30,6bd81d73,Credit,5980.12
3cb9e55a,2bbc5ce9,Checking,9636.56
8378da82,1d9e940e,Checking,630.04
bb40caef,41a4cb67,Checking,4679.85
ee23586d,21f2ea2a,Checking,8521.69
2f7a2393,65044f73,Credit,9888.02
8034daa3,a7c37274,Credit,9869.15
cfded30e,dde1362a,Credit,7191.95
215ce6bd,2d85037c,Checking,5814.02
5198639a,3a2bacec,Savings,8474.15
f9aeee36,63d26992,Savings,2230.57
abbc74a5,24f00fee,Checking,3779.64
dab6ff24,51c914e8,Credit,5514.37
da3a79b2,5459f103,Credit,8555.02
ee698173,ab2ef953,Checking,7930.05
10001ef5,4aa8ef5c,Savings,4275.93
6b7cf312,3b84b173,Savings,6569.41
a02c03e6,0f3bd206,Savings,5286.02
863dd868,ac70cc83,Credit,7659.11
13345f91,0f3bd206,Credit,6603.02
cbbbc638,0e53d46f,Checking,154.54
a7e3e832,f0de0e82,Savings,1710.95
2f2c8cf0,13cfb7b9,Checking,3831.77
efd2f050,ef9f18f6,Checking,2635.05
bb0edd72,63d26992,Credit,7522.83
9efcedc5,305e482d,Checking,6182.19
7f5db412,a0ec2eb1,Savings,121.31
d38d00cf,2d85037c,Savings,1522.66
