transaction_id,account_id,date,amount,type,merchant_id
371f3221,14332485,2024-10-21 11:09:30.610051,495.58,Debit,86041576
4ddb487b,6a290284,2024-11-11 18:39:06.315801,220.27,Debit,66020d54
3e967c28,762678c1,2024-06-19 12:41:48.151288,144.83,Credit,8724f3ee
970fdb19,efd2f050,2024-03-27 05:31:26.002423,143.95,Credit,848c66f3
30f96042,b5353851,2023-09-20 12:30:30.297083,345.81,Credit,3fc071a8
b9cc4bab,e5122086,2023-09-17 01:45:07.861121,402.72,Credit,24d53cba
081f3e2a,762678c1,2023-09-29 19:00:29.805298,221.96,Credit,fa2ce6cb
52d9b760,13345f91,2024-03-09 01:27:01.631735,126.38,Credit,c12929e6
43e32048,e05ad7ee,2023-03-13 13:17:40.102283,126.9,Credit,fa2ce6cb
d7f1a409,f927ced7,2024-06-11 09:17:24.085576,376.01,Debit,2c4123fb
6c43fa17,15287fdc,2023-04-05 20:02:20.161478,385.28,Credit,66a5fec6
a2fdf851,6b7cf312,2023-06-29 01:14:14.984863,279.7,Credit,24d53cba
c5c37472,4ca2a46b,2023-04-06 09:50:11.871242,245.5,Debit,aca2ee9d
d75bb705,3320d93a,2024-08-20 13:05:52.072222,341.01,Debit,472abbc8
55939943,5d5e3fd8,2023-07-18 05:48:03.664774,76.65,Debit,7a230df6
2847a7e7,6bac6579,2022-12-27 01:46:23.545167,42.57,Debit,24d53cba
f0d0f0e0,e27bf7b3,2023-06-04 09:34:50.897838,115.5,Credit,7615700f
f05bede5,b714d8df,2024-10-11 12:05:51.308945,40.9,Debit,aca2ee9d
cc0e1b69,0e2aa613,2024-04-02 00:47:50.522111,317.4,Debit,d32f5f25
9fa6db5f,35a99d2e,2023-09-06 02:18:27.041519,410.63,Debit,66020d54
5b52f7e5,863dd868,2024-01-16 22:24:17.299417,455.92,Debit,e68805f0
236390be,ee698173,2024-04-11 10:31:01.970601,167.59,Credit,90e33d75
e7e9a361,e0e68124,2023-03-05 06:31:27.037727,272.23,Credit,a1b35095
e9d6fc17,9e626087,2024-04-07 18:15:46.136619,315.33,Credit,c0835974
65e0a882,cb0620b3,2024-06-28 22:33:29.761352,265.62,Debit,91e65669
f2a6ba46,cbbbc638,2023-04-09 10:54:04.126210,448.56,Debit,d16d28f7
b42459b0,b8e3bec2,2023-11-23 01:59:05.411090,182.63,Debit,cee2da88
20309c45,4ea84515,2023-06-09 08:12:17.952044,465.9,Debit,e9f725a2
586597f7,4ea84515,2023-05-23 19:55:07.771167,72.51,Credit,5f237fd7
bcf66e08,b8e3bec2,2024-11-10 03:13:30.499682,292.75,Credit,a309543a
cdb6e6fc,5198639a,2024-08-09 11:25:47.148740,181.42,Debit,3017740f
300763d9,75fd2c01,2023-05-06 03:33:51.638315,194.78,Credit,a1b35095
d27139aa,3320d93a,2023-01-19 18:17:43.859625,465.72,Credit,f810fe58
da480b60,e2cc7f24,2024-04-08 01:01:00.215013,89.09,Debit,24d53cba
5b09dc2a,15287fdc,2023-07-18 05:07:33.436438,308.3,Credit,d32f5f25
5278e7e2,a2d122e7,2023-01-27 17:36:22.722920,123.74,Debit,cee2da88
ab339008,05fb943c,2023-09-21 18:22:17.079214,354.47,Debit,3fc071a8
34d0a767,200cac66,2023-01-26 22:41:37.643887,89.4,Credit,ea15471e
6ad8301b,dbed9d2b,2023-05-19 16:10:04.153809,395.89,Debit,10d2aaf9
698d1307,c716b233,2023-07-13 02:30:13.311639,194.74,Debit,da747605
421c37ed,a0e0af59,2024-01-02 03:04:59.041981,469.17,Debit,da747605
e26d819d,83e43264,2024-04-22 12:33:14.311453,249.54,Credit,4a34dbe7
fd72171d,f209c789,2024-11-26 08:15:12.234704,12.09,Debit,fa2e7c66
c9269a6c,14332485,2024-06-30 03:41:34.186748,169.83,Debit,9f3a5c1a
d195d6d4,09bfee82,2023-01-12 03:02:42.372490,336.21,Debit,666f6ba9
44abc99e,b69fbb70,2024-04-02 19:30:34.772285,76.34,Debit,2de2fb3d
185c28e1,2952e248,2023-06-16 17:17:13.648956,393.77,Credit,fa2ce6cb
0c48dfd2,55e39723,2024-08-03 12:20:20.276123,335.05,Debit,65e24620
6aca2205,472dc831,2023-07-23 11:13:41.121570,23.75,Debit,2c4123fb
14b71d36,9983a5a2,2024-03-29 06:38:36.066957,479.27,Debit,a309543a
174a2285,32fd32f2,2023-02-27 13:45:51.176432,358.06,Debit,21563bba
3214411f,f927ced7,2023-09-25 17:27:24.081174,469.31,Credit,848c66f3
6223928f,d1a0e71c,2024-09-09 04:23:02.040666,421.56,Debit,91e65669
4191ba4b,215ce6bd,2024-10-12 18:13:29.138131,389.28,Debit,844693ac
6a21cd4d,6559cf71,2024-08-17 22:01:42.890615,145.29,Credit,2de2fb3d
a6271058,ebea35ad,2024-03-29 20:15:16.106850,227.59,Debit,c0835974
c9a2dec1,3e7b6a86,2023-05-14 15:39:37.461219,251.36,Credit,7a230df6
637156fb,9f271a30,2023-11-25 22:05:10.133744,161.14,Debit,844693ac
f3bff7e1,05fb943c,2023-03-18 12:17:06.843704,65.92,Credit,c0835974
bd07503d,6559cf71,2024-04-18 00:34:26.106796,107.31,Debit,666f6ba9
37d23db3,9f271a30,2023-10-11 08:40:53.064965,375.9,Debit,a1b35095
dd42ddaa,35a99d2e,2024-06-06 05:27:58.148916,23.53,Debit,91e65669
ada8b1cd,7e263c5b,2024-02-14 14:39:25.731427,406.38,Debit,cee2da88
2590db74,8034daa3,2023-05-18 09:40:18.010159,263.63,Debit,91e65669
3fb16970,c716b233,2023-05-17 01:01:37.342937,485.99,Debit,da6c643d
a966d543,986ecd10,2023-04-28 11:48:12.558265,40.26,Debit,c0835974
a180d84c,8177da3a,2024-09-11 04:27:05.719104,446.53,Credit,10d2aaf9
cf6f0d0d,0e2aa613,2023-11-12 21:33:57.819349,173.92,Credit,21563bba
11bbc988,15287fdc,2023-03-12 20:36:54.928279,337.67,Credit,65e24620
cd51c9ea,0f808f0e,2024-09-20 17:08:31.306963,54.45,Credit,9f3a5c1a
4d257df7,01022575,2024-08-31 09:46:12.901067,165.58,Credit,21563bba
a8ac4627,ee698173,2023-02-18 21:06:26.043140,223.96,Debit,a44f000c
f9ac138f,1e32d28e,2023-10-07 06:41:56.113442,64.63,Debit,666f6ba9
